year,month,carrier,carrier_name,airport,airport_name,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,violated_rule
2022,1,OO,SkyWest Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",2022,1,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2022,1,ZW,Air Wisconsin Airlines Corp,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",2022,1,64.0,17.0,3.26,0.0,7.18,0.0,5.57,6.0,0.0,1313.0,217.0,0.0,253.0,0.0,607.0,cause_delays_sum_mismatch
2021,12,MQ,Envoy Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",2021,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,12,YV,Mesa Airlines Inc.,BRO,"Brownsville, TX: Brownsville South Padre Island International",2021,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,12,ZW,Air Wisconsin Airlines Corp,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",2021,12,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,10,OO,SkyWest Airlines Inc.,TYR,"Tyler, TX: Tyler Pounds Regional",2021,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,10,9E,Endeavor Air Inc.,PVD,"Providence, RI: Theodore Francis Green State",2021,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,10,F9,Frontier Airlines,LAX,"Los Angeles, CA: Los Angeles International",2021,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,10,OO,SkyWest Airlines Inc.,ABI,"Abilene, TX: Abilene Regional",2021,10,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,9,OO,SkyWest Airlines Inc.,BGR,"Bangor, ME: Bangor International",2021,9,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,YV,Mesa Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,YX,Republic Airline,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,YX,Republic Airline,LNK,"Lincoln, NE: Lincoln Airport",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,YX,Republic Airline,MLI,"Moline, IL: Quad City International",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,ZW,Air Wisconsin Airlines Corp,ACK,"Nantucket, MA: Nantucket Memorial",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,G7,GoJet Airlines LLC d/b/a United Express,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,G7,GoJet Airlines LLC d/b/a United Express,TYS,"Knoxville, TN: McGhee Tyson",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,8,UA,United Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",2021,8,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,BGR,"Bangor, ME: Bangor International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,BNA,"Nashville, TN: Nashville International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,FAR,"Fargo, ND: Hector International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,LNK,"Lincoln, NE: Lincoln Airport",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,PVD,"Providence, RI: Theodore Francis Green State",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,G7,GoJet Airlines LLC d/b/a United Express,XNA,"Fayetteville, AR: Northwest Arkansas Regional",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
2021,7,OO,SkyWest Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",2021,7,,,,,,,,,,,,,,,,cause_delays_sum_mismatch
